_id,timestamp,user_id,event_type,movie_id,movie_name,release_year,rating
66f65b00eb2f5cccdaf38d9a,2024-09-09 21:22:19.000,55539,rate,looking+for+lenny+2011,looking for lenny,2011,3
66f65b02eb2f5cccdaf38dc6,2024-09-09 21:22:39.000,126623,rate,hen_+his+wife+1990,hen_ his wife,1990,2
66f65b11eb2f5cccdaf38f00,2024-09-09 21:24:21.000,52491,rate,geris+game+1997,geris game,1997,4
66f65b21eb2f5cccdaf39035,2024-09-09 21:25:59.000,89027,rate,kings+and+queen+2004,kings and queen,2004,4
66f65b2feb2f5cccdaf39106,2024-09-09 21:27:10.000,61365,rate,kohtaamisia+2010,kohtaamisia,2010,4
66f65c474d32f2e895186f9c,2024-09-09 21:30:33.000,52602,rate,squadra+antigangsters+1979,squadra antigangsters,1979,4
66f65c4f4d32f2e895187001,2024-09-09 21:31:04.000,83467,rate,kevin+nealon+whelmed_+but+not+overly+2012,kevin nealon whelmed_ but not overly,2012,5
66f65c524d32f2e89518702a,2024-09-09 21:31:17.000,143125,rate,goofy+movies+number+one+1933,goofy movies number one,1933,5
66f65c534d32f2e89518703f,2024-09-09 21:31:21.000,138472,rate,the+dresser+1983,the dresser,1983,3
66f65c554d32f2e895187052,2024-09-09 21:31:28.000,142834,rate,hotel+chevalier+2007,hotel chevalier,2007,4
66f65c5d4d32f2e8951870be,2024-09-09 21:32:01.000,138275,rate,marcel+reich-ranicki+-+mein+leben+2009,marcel reich-ranicki - mein leben,2009,4
66f65c5f4d32f2e8951870da,2024-09-09 21:32:10.000,147903,rate,paz+2002,paz,2002,4
66f65c614d32f2e895187106,2024-09-09 21:32:22.000,90313,rate,reparando+2010,reparando,2010,5
66f65d264d32f2e895187293,2024-09-09 21:34:38.000,4008,rate,chain+camera+2001,chain camera,2001,3
66f65e134d32f2e89518732c,2024-09-09 21:35:39.000,2155,rate,glumovs+diary+1923,glumovs diary,1923,3
66f65e504d32f2e89518736f,2024-09-09 21:35:58.000,113763,rate,la+legge+violenta+della+squadra+anticrimine+1976,la legge violenta della squadra anticrimine,1976,4
66f65e524d32f2e89518737f,2024-09-09 21:36:03.000,31299,rate,you+dont+mess+with+the+zohan+2008,you dont mess with the zohan,2008,3
66f65ed64d32f2e8951873f6,2024-09-09 21:36:46.000,100984,rate,echoes+from+the+dead+2013,echoes from the dead,2013,4
66f65ef74d32f2e8951874e8,2024-09-09 21:38:09.000,8558,rate,sintel+2010,sintel,2010,4
66f65eff4d32f2e895187516,2024-10-27 06:40:22.439,42746,rate,africa+the+serengeti+1994,africa the serengeti,1994,5
66f65f024d32f2e895187523,2024-09-09 21:38:38.000,23022,rate,cops+1922,cops,1922,4
66f65f124d32f2e8951875ae,2024-09-09 21:39:18.000,39466,rate,the+ballad+of+nessie+2011,the ballad of nessie,2011,4
66f65f164d32f2e8951875d2,2024-09-09 21:39:26.000,77958,rate,the+cats+out+1931,the cats out,1931,3
